min_evidence,threshold,accuracy norm,accuracy prov,accuracy avg,true positive norm,true negative norm,false positive norm,false negative norm,true positive prov,true negative prov,false positive prov,false negative prov,true positive avg,true negative avg,false positive avg,false negative avg
9,6.0,0.388022897402,0.397005724351,0.377983267283,1514.0,2892.0,1058.0,5891.0,1653.0,2855.0,1095.0,5752.0,681.0,3611.0,339.0,6724.0
9,6.5,0.446059004844,0.453016292382,0.426067811537,1004.0,4061.0,692.0,5598.0,1131.0,4013.0,740.0,5471.0,173.0,4665.0,88.0,6429.0
9,7.0,0.477939233818,0.484191985909,0.476882430647,483.0,4944.0,417.0,5511.0,606.0,4892.0,469.0,5388.0,149.0,5266.0,95.0,5845.0
9,7.5,0.542051959489,0.546543372963,0.541963892558,25.0,6130.0,8.0,5192.0,138.0,6068.0,70.0,5079.0,90.0,6064.0,74.0,5127.0
9,8.0,0.621047996477,0.621752531924,0.620783795685,9.0,7043.0,6.0,4297.0,97.0,6963.0,86.0,4209.0,0.0,7049.0,0.0,4306.0
9,8.5,0.734742404227,0.734742404227,0.734742404227,0.0,8343.0,0.0,3012.0,0.0,8343.0,0.0,3012.0,0.0,8343.0,0.0,3012.0
9,9.0,0.897578159401,0.897578159401,0.897578159401,0.0,10192.0,0.0,1163.0,0.0,10192.0,0.0,1163.0,0.0,10192.0,0.0,1163.0
9,9.5,0.998855129899,0.998855129899,0.998855129899,0.0,11342.0,0.0,13.0,0.0,11342.0,0.0,13.0,0.0,11342.0,0.0,13.0
9,10.0,1.0,1.0,1.0,0.0,11355.0,0.0,0.0,0.0,11355.0,0.0,0.0,0.0,11355.0,0.0,0.0
10,6.0,0.388022897402,0.397005724351,0.377983267283,1514.0,2892.0,1058.0,5891.0,1653.0,2855.0,1095.0,5752.0,681.0,3611.0,339.0,6724.0
10,6.5,0.446059004844,0.453016292382,0.426067811537,1004.0,4061.0,692.0,5598.0,1131.0,4013.0,740.0,5471.0,173.0,4665.0,88.0,6429.0
10,7.0,0.477939233818,0.484191985909,0.476882430647,483.0,4944.0,417.0,5511.0,606.0,4892.0,469.0,5388.0,149.0,5266.0,95.0,5845.0
10,7.5,0.542051959489,0.546543372963,0.541963892558,25.0,6130.0,8.0,5192.0,138.0,6068.0,70.0,5079.0,90.0,6064.0,74.0,5127.0
10,8.0,0.621047996477,0.621752531924,0.620783795685,9.0,7043.0,6.0,4297.0,97.0,6963.0,86.0,4209.0,0.0,7049.0,0.0,4306.0
10,8.5,0.734742404227,0.734742404227,0.734742404227,0.0,8343.0,0.0,3012.0,0.0,8343.0,0.0,3012.0,0.0,8343.0,0.0,3012.0
10,9.0,0.897578159401,0.897578159401,0.897578159401,0.0,10192.0,0.0,1163.0,0.0,10192.0,0.0,1163.0,0.0,10192.0,0.0,1163.0
10,9.5,0.998855129899,0.998855129899,0.998855129899,0.0,11342.0,0.0,13.0,0.0,11342.0,0.0,13.0,0.0,11342.0,0.0,13.0
10,10.0,1.0,1.0,1.0,0.0,11355.0,0.0,0.0,0.0,11355.0,0.0,0.0,0.0,11355.0,0.0,0.0
11,6.0,0.388022897402,0.397357992074,0.377983267283,1514.0,2892.0,1058.0,5891.0,1652.0,2860.0,1090.0,5753.0,681.0,3611.0,339.0,6724.0
11,6.5,0.446059004844,0.453016292382,0.426067811537,1004.0,4061.0,692.0,5598.0,1132.0,4012.0,741.0,5470.0,173.0,4665.0,88.0,6429.0
11,7.0,0.477939233818,0.484191985909,0.476882430647,483.0,4944.0,417.0,5511.0,607.0,4891.0,470.0,5387.0,149.0,5266.0,95.0,5845.0
11,7.5,0.542051959489,0.546543372963,0.541963892558,25.0,6130.0,8.0,5192.0,139.0,6067.0,71.0,5078.0,90.0,6064.0,74.0,5127.0
11,8.0,0.621047996477,0.621752531924,0.620783795685,9.0,7043.0,6.0,4297.0,98.0,6962.0,87.0,4208.0,0.0,7049.0,0.0,4306.0
11,8.5,0.734742404227,0.734742404227,0.734742404227,0.0,8343.0,0.0,3012.0,0.0,8343.0,0.0,3012.0,0.0,8343.0,0.0,3012.0
11,9.0,0.897578159401,0.897578159401,0.897578159401,0.0,10192.0,0.0,1163.0,0.0,10192.0,0.0,1163.0,0.0,10192.0,0.0,1163.0
11,9.5,0.998855129899,0.998855129899,0.998855129899,0.0,11342.0,0.0,13.0,0.0,11342.0,0.0,13.0,0.0,11342.0,0.0,13.0
11,10.0,1.0,1.0,1.0,0.0,11355.0,0.0,0.0,0.0,11355.0,0.0,0.0,0.0,11355.0,0.0,0.0
